tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,latitude,longitude,date,temperature,humidity,precipitation,wind_speed,snowfall
570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)","(37.7792588, -122.4193286)",2015-02-24 11:13:57,San Francisco CA,Pacific Time (US & Canada),37.78,-122.42,2015-02-24,16.2,34.0,0.0,12.2,0.0
570300248553349120,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP","(34.0536909, -118.242766)",2015-02-24 11:12:29,Los Angeles,Pacific Time (US & Canada),34.05,-118.24,2015-02-24,15.5,40.0,0.0,13.9,0.0
570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn't…but NOW I DO! :-D","(32.7174202, -117.162772)",2015-02-24 11:11:19,San Diego,Pacific Time (US & Canada),32.72,-117.16,2015-02-24,13.5,71.0,0.0,10.1,0.0
570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.","(34.0536909, -118.242766)",2015-02-24 10:53:27,Los Angeles,Eastern Time (US & Canada),34.05,-118.24,2015-02-24,-12.3,56.0,0.0,15.1,0.0
570289724453216256,positive,1.0,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,"(40.7127281, -74.0060152)",2015-02-24 10:30:40,NYC,America/New_York,40.71,-74.01,2015-02-24,-12.1,56.0,0.0,20.7,0.0
570289584061480960,positive,1.0,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,"(40.7127281, -74.0060152)",2015-02-24 10:30:06,NYC,America/New_York,40.71,-74.01,2015-02-24,-0.6,70.0,0.0,4.5,0.0
570285904809598977,positive,1.0,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,"(37.7792588, -122.4193286)",2015-02-24 10:15:29,"San Francisco, CA",Pacific Time (US & Canada),37.78,-122.42,2015-02-24,8.9,40.0,0.0,8.1,0.0
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,"(37.4443293, -122.1598465)",2015-02-24 10:01:50,"palo alto, ca",Pacific Time (US & Canada),37.44,-122.16,2015-02-24,-0.4,89.0,0.0,6.8,0.0
570277724385734656,positive,1.0,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,"(34.0686208, -117.9389526)",2015-02-24 09:42:59,west covina,Pacific Time (US & Canada),34.07,-117.94,2015-02-24,16.8,38.0,0.0,14.2,0.0
570267956648792064,positive,1.0,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,"(42.368660399999996, -71.24911642980041)",2015-02-24 09:04:10,Boston | Waltham,Quito,42.37,-71.25,2015-02-24,-1.1,88.0,0.0,6.8,0.0
570259420287868928,positive,1.0,,,Virgin America,,ElvinaBeck,,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,"(34.0536909, -118.242766)",2015-02-24 08:30:15,Los Angeles,Pacific Time (US & Canada),34.05,-118.24,2015-02-24,17.2,38.0,0.0,14.2,0.0
570258822297579520,neutral,1.0,,,Virgin America,,rjlynch21086,,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,"(42.3554334, -71.060511)",2015-02-24 08:27:52,"Boston, MA ",Eastern Time (US & Canada),42.36,-71.06,2015-02-24,-15.2,64.0,0.0,14.8,0.0
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,"(36.127638035785814, -105.76284684266435)",2015-02-24 08:18:51,714,Mountain Time (US & Canada),36.13,-105.76,2015-02-24,14.9,64.0,0.0,11.9,0.0
